"Title","Type","Enjoyment","Objective","Date","Chapter/Episode","Notes"
"魔女霓裳","Web Novel","10","9.5","01/01/23","Completed",""
"妖刀姬","Web Novel","10","7.0","01/01/22","Completed",""
"Fullmetal Alchemist","Anime","10","10.0","01/01/17","Completed",""
"Steins;Gate","Anime","10","10.0","01/01/17","Completed",""
"Code Geass","Anime","10","9.5","01/01/17","Completed",""
"Violet Evergarden","Anime","10","9.0","01/01/17","Completed",""
"Madoka Magica","Anime","9.5","9.0","01/01/17","Completed",""
"含泪做1 (忽然而至的春天)","Webnovel","9.5","9.0","01/02/25","Completed",""
"Ajin","Manga","9.5","9.0","01/01/24","Completed","Plot completely different to anime"
"Kidnapped Dragons","Web Novel","9.5","9.5","01/01/23","Completed","PEAK"
"To be a power in the shadows","Web Novel","9.5","8.0","01/01/23","Completed",""
"都市：我成了富二代反派","Web Novel","9.5","6.0","01/01/23","Completed",""
"The Greatest Estate Developer","Manhwa","9.5","9.0","04/12/25","Completed",""
"So I'm a Spider, So What?","Web Novel","9.5","9.0","01/01/22","Completed",""
"Hinamatsuri","Manga","9.5","9.5","01/01/22","Completed","Funny"
"Fake Saint Of The Year","Web Novel","9.5","9.5","01/01/22","Completed",""
"Attack on Titan","Anime","9.5","10.0","01/01/17","Completed",""
"Cyberpunk: Edgeruners","Anime","9.5","9.5","01/01/17","Completed",""
"Saiki-K","Anime","9.5","9.5","01/01/17","Completed",""
"Tokyo Ghoul","Manga","9.5","9.5","01/01/17","Completed",""
"Fate/Zero","Anime","9.5","9.0","01/01/17","Completed",""
"Fate/Stay Night: UBW","Anime","9.5","9.0","01/01/17","Completed",""
"Fate/Stay Night: Movies Trilogy","Anime","9.5","9.0","01/01/17","Completed",""
"Made in Abyss","Anime","9.5","8.5","01/01/17","Completed",""
"Jujutsu Kaisen","Anime","9.5","9.5","01/01/24","Completed",""
"Ling Long: Incarnation (Link Cage)","Donghua","9","9.0","31/08/25","Completed",""
"Sousou no Frieren","Manga","9","9.5","01/01/17","Completed",""
"Kaguya-sama","Anime","9","9.0","01/01/17","Completed",""
"Bunny Girl Senpai","Anime","9","9.0","01/01/17","Completed",""
"Takopi's Original Sin","Anime","9","9.5","21/08/25","Completed",""
"Solo Leveling","Manhwa","9","8.0","01/01/24","Completed",""
